il,the
di,of
e,is
a,to
un,a
in,in
che,that
non,not
si,Yes
da,from
lo,the
per,for
con,with
ma,but
come,how
su,up
mi,me
anche,also
o,or
io,I
se,self
perché,because
li,there
ci,us
ne,neither
lei,she
ancora,yet
tu,you
lui,he
senza,without
bene,well
cui,which
chi,who
già,already
dopo,after
uno,one
noi,we
dove,where
qui,here
no,no
allora,then
tra,between
vi,you
ora,Now
fra,between
prima,before
forse,perhaps
sì,Yup
sotto,under
voi,you
fino,till
oggi,today
quasi,almost
pure,also
egli,he
mentre,while
contro,versus
invece,instead
esso,it
là,there
però,However
né,neither
subito,immediately
verso,towards
ciò,it
ecco,here
loro,their
essa,it
fuori,outside
meno,less
adesso,now
niente,nothing
cioè,that is
male,bad
nulla,nothing
ah,ha
oh,Oh
quindi,then
appena,as soon as
insieme,together
dunque,therefore
dentro,inside
durante,during
almeno,at least
secondo,second
anzi,rather
oramai,now
oltre,over
intorno,around
sopra,above
dietro,behind
davanti,in front of
soltanto,only
infatti,indeed
qualcosa,something
spesso,often
accordo,agreement
ieri,yesterday
davvero,really
lì,there
qualcuno,someone
avanti,come on
assai,very
presto,soon
qua,here
domani,tomorrow
circa,about
giù,down
soprattutto,mostly
nemmeno,not even
grazie,thank you
tuttavia,however
appunto,just
neppure,neither
eh,huh
veramente,really
tardi,late
insomma,in conclusion
presso,At
intanto,in the meantime
lungo,long
neanche,neither
piuttosto,Rather
stasera,tonight
perciò,therefore
naturalmente,of course
accanto,next
eppure,but yet
eccetera,etc
finalmente,finally
infine,finally
poiché,as
comunque,However
dinanzi,before
abbastanza,enough
peccato,sin
certamente,of course
coloro,they
attorno,about
magari,maybe
oppure,or
inoltre,Moreover
indietro,back
addosso,on
addirittura,even
finché,as long as
perfino,even
affatto,at all
stamattina,This morning
completamente,completely
probabilmente,probably
chissà,who knows
ognuno,each one
entro,within
